Contract,Name ,Chain,Standard,Weight
0x7d8820fa92eb1584636f4f5b8515b5476b75171a,,ETHEREUM,ERC-721,7
0xdfde78d2baec499fe18f2be74b6c287eed9511d7,,ETHEREUM,ERC-721,7
0x7df64f69544c5bf71171dc5ab69b8602c2ff1e27,,ETHEREUM,ERC-721,8
0x3d48c29bcf436498f1d3aae2d573a11fc9040754,,ETHEREUM,ERC-721,6
0xd1169e5349d1cb9941f3dcba135c8a4b9eacfdde,,ETHEREUM,ERC-721,6
0xd153f0014db6d1f339c6340d2c9f59214355d9d7,,ETHEREUM,ERC-721,9
0x0e4b8e24789630618aa90072f520711d3d9db647,,ETHEREUM,ERC-721,9
0x602bdb6c02adfa4f3847393623523336a279ff7d,,ETHEREUM,ERC-721,7
0x82262bfba3e25816b4c720f1070a71c7c16a8fc4,,ETHEREUM,ERC-721,8
0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,,ETHEREUM,ERC-721,7
0x51f0c1938b0e67cafc7a6fc8eb6edd7fdbe002bc,,ETHEREUM,ERC-721,6
0x942bc2d3e7a589fe5bd4a5c6ef9727dfd82f5c8a,,ETHEREUM,ERC-721,8
0x6339e5e072086621540d0362c4e3cea0d643e114,,ETHEREUM,ERC-721,9
0x64780ce53f6e966e18a22af13a2f97369580ec11,,ETHEREUM,ERC-721,9
0x54442d0a5849ac1cfedd78f892154328f2c5b238,,ETHEREUM,ERC-721,7
0x23581767a106ae21c074b2276d25e5c3e136a68b,,ETHEREUM,ERC-721,8
0xc7cc3e8c6b69dc272ccf64cbff4b7503cbf7c1c5,,ETHEREUM,ERC-721,6
0x6609e542e0626bc3fc2110f0ead172030fbe97ab,,ETHEREUM,ERC-721,6
0x459ea67815b4720e55ec7dfd93687c9d2924eb79,,ETHEREUM,ERC-721,7
0x667d28ca8a8f4391fe13c92d36e60c7615d2f8db,,ETHEREUM,ERC-721,7
0x77372a4cc66063575b05b44481f059be356964a4,,ETHEREUM,ERC-721,8
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,,ETHEREUM,ERC-721,9
0xa97ad3ce4d36b9d782ca7a2d45b25a052c44dce6,,ETHEREUM,ERC-721,9
0xbace7e22f06554339911a03b8e0ae28203da9598,,ETHEREUM,ERC-20,9
0xaadc2d4261199ce24a4b0a57370c4fcf43bb60aa,,ETHEREUM,ERC-721,7
0x2963ba471e265e5f51cafafca78310fe87f8e6d1,,ETHEREUM,ERC-721,6
0x4a2e095dc2737d18c2a7ad9a49dc8e1fe15b3f5e,,ETHEREUM,ERC-721,9
0x5bd815fd6c096bab38b4c6553cfce3585194dff9,,ETHEREUM,ERC-721,8
0xac9695369a51dad554d296885758c4af35f77e94,,ETHEREUM,ERC-721,7
0x7e619a01e1a3b3a6526d0e01fbac4822d48f439b,,ETHEREUM,ERC-1155,8
0x1ca39c7f0f65b4da24b094a9afac7acf626b7f38,,ETHEREUM,ERC-721,6
0x82c708379490f88d0d751d87610fd03f6f51a761,,ETHEREUM,ERC-721,9
0x992b11a8fe7abfb2e3b7736a1b5ffa3d44efaa32,,ETHEREUM,ERC-721,8
0x7be3fdac0f6da6d4460fc2e4937d0017f8e494fa,,ETHEREUM,ERC-721,6
0x39508183cEd59522F072293af4E485A1b9fc102B,AI art is not art by tricil,ETHEREUM,ERC-721,9
0x24a679661fa70dc4206b562e35116ab4a4fcfacc,Zine Edition 01,ETHEREUM,ERC-721,9
0x82daDDe0bb2773644EDFF2D3bFe702191822C8EA,RariMuses,ETHEREUM,ERC-721,6
0xe5c2C5242A25067ca58eA0543Ca36B8A84d79540,You have reached a digital resting point,ETHEREUM,ERC-721,7
0x7e8Ba6E1366B82963e1f55E3Ca623bfdF77C3EA7,FWB Member Directory,ETHEREUM,ERC-721,8
0xbf8285b5440ab68e5d24fc199fb5eccf26185811,CondoMini Neighborhood,ETHEREUM,ERC-721,8
0xeb3a9a839dfeeaf71db1b4ed6a8ae0ccb171b227,"""MOAR"" by Joan Cornella",ETHEREUM,ERC-721,8
0xC54C6c76E7c68dE2546e0f4D4115b91AfB9a2bc9,Snoop Dogg - Let Me Hit Somethin,ETHEREUM,ERC-721,8
0x50e9dc61b38854e55900b1BEe88dC4183fC24127,Checks - Squiggle Edition,ETHEREUM,ERC-721,8
0x4803E859A2e325dc8F6AdcD23Ea682e323F59640,Gleam,POLYGON,ERC-721,8
0x9C0940F28E169F04ae93907e5B04c763e89d2C59,MOAR Serum,ETHEREUM,ERC-1155,8
