Contract,Name ,Chain,Standard,Weight
0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,NAGA,ETHEREUM,ERC20,
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,ETHEREUM,ERC20,
0x514910771af9ca656af840dff83e8264ecf986ca,Chainlink,ETHEREUM,ERC20,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped Bitcoin,ETHEREUM,ERC20,
0x6b175474e89094c44da98b954eedeac495271d0f,Dai,ETHEREUM,ERC20,
0x5a98fcbea516cf06857215779fd812ca3bef1b32,Lido DAO,ETHEREUM,ERC20,
0xc944e90c64b2c07662a292be6244bdf05cda44a7,The Graph,ETHEREUM,ERC20,
0x4e15361fd6b4bb609fa63c81a2be19d873717870,Fantom,ETHEREUM,ERC20,
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Aave,ETHEREUM,ERC20,
0xd33526068d116ce69f19a9ee46f0bd304f21a51f,Rocket Pool,ETHEREUM,ERC20,
0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,ETHEREUM,ERC20,
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,"Maker
",ETHEREUM,ERC20,
0xbd31ea8212119f94a611fa969881cba3ea06fa3d,Terra Classic,ETHEREUM,ERC20,
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,"Synthetix
",ETHEREUM,ERC20,
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,Frax Share,ETHEREUM,ERC20,
0xe28b3b32b6c345a34ff64674606124dd5aceca30,Injective,ETHEREUM,ERC20,
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,Loopring,ETHEREUM,ERC20,
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,Convex Finance,ETHEREUM,ERC20,
0x111111111117dc0aa78b770fa6a738034120c302,1inch Network,ETHEREUM,ERC20,
0x0C356B7fD36a5357E5A017EF11887ba100C9AB76,Kava,ETHEREUM,ERC20,
0x92d6c1e31e14520e676a687f0a93788b716beff5,dYdX,ETHEREUM,ERC20,
0x26B80FBfC01b71495f477d5237071242e0d959d7,Oasis Network,ETHEREUM,ERC20,
0x8290333cef9e6d528dd5618fb97a76f268f3edd4,Ankr,ETHEREUM,ERC20,
0xba100000625a3754423978a60c9317c58a424e3D,Balancer,ETHEREUM,ERC20,
0xc00e94cb662c3520282e6f5717214004a7f26888,Compound,ETHEREUM,ERC20,
0x6810e776880c02933d47db1b9fc05908e5386b96,Gnosis,ETHEREUM,ERC20,
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SushiSwap,ETHEREUM,ERC20,
0x967da4048cd07ab37855c090aaf366e4ce1b9f48,Ocean Protocol,ETHEREUM,ERC20,
0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,Band Protocol,ETHEREUM,ERC20,
0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,Liquity,ETHEREUM,ERC20,
0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,IDEX,ETHEREUM,ERC20,
0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MUX Protocol,ETHEREUM,ERC20,
0x3e9bc21c9b189c09df3ef1b824798658d5011937,Linear Finance,ETHEREUM,ERC20,
0x5245c0249e5eeb2a0838266800471fd32adb1089,Raydium,ETHEREUM,ERC20,
0xbc396689893d065f41bc2c6ecbee5e0085233447,Perpetual Protocol,ETHEREUM,ERC20,
0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,"Serum
",ETHEREUM,ERC20,
0x6c28aef8977c9b773996d0e8376d2ee379446f2f,QuickSwap,ETHEREUM,ERC20,
0x0000000000095413afc295d19edeb1ad7b71c952,Tokenlon Network Token,ETHEREUM,ERC20,
0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f,CoinEx Token,ETHEREUM,ERC20,
0xadd5e881984783dd432f80381fb52f45b53f3e70,VITE,ETHEREUM,ERC20,
0x27054b13b1b798b345b591a4d22e6562d47ea75a,AirSwap,ETHEREUM,ERC20,
0x48A6189c582DEB79A12dE99e7DB5DfB076484284,Quadrat NFT Pass,ETHEREUM,ERC-721,8
0xC36442b4a4522E871399CD717aBDD847Ab11FE88,Uniswap V3 Positions,ETHEREUM,ERC-721,8
0x932261f9Fc8DA46C4a22e31B45c4De60623848bF,Zerion DNA 1.0,ETHEREUM,ERC-721,9
0x7492E30d60D96c58ED0f0DC2FE536098C620C4c0,Rainbow Zorb,ETHEREUM,ERC-721,8
0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,Meebits,ETHEREUM,ERC-721,7
0x1dfe7Ca09e99d10835Bf73044a23B73Fc20623DF,More Loot,ETHEREUM,ERC-721,7
0x9BA596dA06dA0Bf9105e58a792b455b7F9b15C70,Zorggles,ETHEREUM,ERC-721,7
0x4E1f41613c9084FdB9E34E11fAE9412427480e56,Terraforms by Mathcastles,ETHEREUM,ERC-721,6
0xcE25E60A89F200B1fA40f6c313047FFe386992c3,dotdotdots,ETHEREUM,ERC-721,6
0x81Ae0bE3A8044772D04F32398bac1E1B4B215aa8,Dreadfulz,ETHEREUM,ERC-721,6
0x933492b6B7038A7e4f14b64DEFe40463F9bc3508,Defi Passport,ETHEREUM,ERC-20,9
0x4146C03b3266F8237684be076f1d821f992cB208,PolyDoge X Polycat,POLYGON,ERC-721,8
0xc2fd4e5c76f2c9fa9cf1aed6464d42ec8925eea7,AlphaInsiders 2023 Winter Campaign,POLYGON,ERC-721,7
0x74EE68a33f6c9f113e22B3B77418B75f85d07D22,Zerion Genesis Collection,ETHEREUM,ERC-1155,9
0xFAFf15C6cDAca61a4F87D329689293E07c98f578,Zapper - Season 1 Edition,ETHEREUM,ERC-1155,9
0xF1F3ca6268f330fDa08418db12171c3173eE39C9,Zapper - Season 2 Edition,ETHEREUM,ERC-1155,9
0xfaaFDc07907ff5120a76b34b731b278c38d6043C,Binance,ETHEREUM,ERC-1155,6
0x200FB6e28EdF0FBC9B5fabf7d39Ae583981f5038,Layer3,POLYGON,ERC-1155,7
0x61C594B34341e2F3f0dB05e0D6Bd30980C94df7B,Coinbase Wallet Collabs,POLYGON,ERC-1155,6
