Contract,Name ,Chain,Standard,Weight
0x92f82b6c09ed2f0f8ff346c9a6d6012206445583,,ETHEREUM,ERC-721,7
0xc36442b4a4522e871399cd717abdd847ab11fe88,,ETHEREUM,ERC-721,7
0xe42cad6fc883877a76a26a16ed92444ab177e306,,ETHEREUM,ERC-721,7
0x548c407d35cdd3c812458d9ef6d135963f9f7ece,,ETHEREUM,ERC-721,6
0x7522dc5a357891b4daec194e285551ea5ea66d09,,ETHEREUM,ERC-20,7
0x24e36639b3a3aaa9c928a8a6f12d34f942f1ab67,,ETHEREUM,ERC-721,6
0x25ed58c027921e14d86380ea2646e3a1b5c55a8b,,ETHEREUM,ERC-721,7
0x0747118c9f44c7a23365b2476dcd05e03114c747,,ETHEREUM,ERC-721,7
0x2b74fbe86367056ff07d0f0fc05539b1afb61038,,ETHEREUM,ERC-721,7
0x363C5dC3ff5A93C9AB1ec54337d211148e10f567,,ETHEREUM,ERC-721,7
0x834Ebe76D6e0331fe86071963caD42c98199fC7c,,ETHEREUM,ERC-721,7
0x15Ca60265BC8eb8aDAB416954053Cd9661ebD3cA,,ETHEREUM,ERC-721,7
0x3725ca6034bcdbc3c9ada649d49df68527661175,EIP-1559 Supporter Series,ETHEREUM,ERC-721,7
0x80d77B4Ae7cD0D7a21Fd3C1B2DA25A4a06B63923,BitcoinBillionaires,ETHEREUM,ERC-721,7
0x6754d0b466ACc6Ee3bAE950fA29aDCc689FbcD5D,first - o3o2RrXEN2,POLYGON,ERC-721,7
0xddBA88C3eCE998f9103C4c66e69C6a1D1e5Eff01,Super Planets NFT,POLYGON,ERC-721,9
0x8354c8de56B63F3827D0c9C66B3c91E035fd40f4,Beta collection,POLYGON,ERC-721,8
0x916b13fca6192fe5e4e2cd58f712ba9ade43ced0,Pixel Devs,POLYGON,ERC-721,8
0x9F1ef068Cd2E9eBdA078EE2804bC98457aE38Af6,,POLYGON,ERC-721,9
0x8C328d17C308e611e4551861491c67086B4e09Dc,,POLYGON,ERC-721,8
0x8B72397C6A87ed0A069AFd55AB15788d8c939a03,,POLYGON,ERC-721,8
0x2A44DD7Ff860a93cB8F31c3b4104Ba8a7D1c0b64,,POLYGON,ERC-721,7
0x33268c70A7C7149470fEA295f159F1c3189675D2,,POLYGON,ERC-721,7
0x8B86d9766db4ACe3801Cd085eC4174AFdDFc9956,,POLYGON,ERC-721,6
0x115cc61A1980295e43f813AdEc68769c50057088,,POLYGON,ERC-721,7
0x5772de9d846b2037E19A3ae0c9AD4223d052D658,,POLYGON,ERC-721,7
0xe615f0F496B1Bb32B80B704dEdFf5bD61B73519A,,POLYGON,ERC-721,8
0x787e76Ce9dC1AC0edA9bb6f5f8462352Dfb2991f,,POLYGON,ERC-721,8
