Contract,Name ,Chain,Standard,Weight
0x847772ee47960b61BFCF2A54Ef4523e4F015B853,Oki's World,ETHEREUM,ERC-721,
0x540Cc373aCfACD250a4250D7b26e9800B71F0484,Dirty Dogs NFT,ETHEREUM,ERC-721,
0xE68d1aEeE2C17E43A955103DaB5E341eE439f55c,Chonk Society,ETHEREUM,ERC-721,
0x8584e7A1817C795f74Ce985a1d13b962758FE3CA,Blazed Cats,ETHEREUM,ERC-721,
0x7f7685b4CC34BD19E2B712D8a89f34D219E76c35,WomenRise,ETHEREUM,ERC-721,
0x5f96FdF27fB8D38d317BA94f642f6BE39080c71E,KRebels,ETHEREUM,ERC-721,
0x338866F8ba75bb9D7a00502E11b099a2636C2C18,Women and Weapons,ETHEREUM,ERC-721,
0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,Gitcoin,ETHEREUM,ERC-20,
0xa0bed124a09ac2bd941b10349d8d224fe3c955eb,DePay,ETHEREUM,ERC-20,
0x5380442d3C4EC4f5777f551f5EDD2FA0F691A27C,DAO Flag Ukraine,ETHEREUM,ERC-20,
0xEC213F83defB583af3A000B1c0ada660b1902A0F,Presearch,ETHEREUM,ERC-20,
0x3136ef851592acf49ca4c825131e364170fa32b3,"CoinFi
",ETHEREUM,ERC-20,
0xd2d6158683aee4cc838067727209a0aaf4359de3,Bounty0x,ETHEREUM,ERC-20,
0xfa05A73FfE78ef8f1a739473e462c54bae6567D9,Lunyr,ETHEREUM,ERC-20,
0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d,ShapeShift,ETHEREUM,ERC-20,
0xE96E2181F6166A37EA4C04F6E6E2bD672D72Acc1,WikiLeaks,IDK,-,
0xfad45e47083e4607302aa43c65fb3106f1cd7607,Hoge Finance,ETHEREUM,ERC-20,
0xddf7fd345d54ff4b40079579d4c4670415dbfd0a,Social Good,ETHEREUM,ERC-20,
0x38a94e92a19e970c144ded0b2dd47278ca11cc1f,Falcon 9,ETHEREUM,ERC-20,
0x916c5de09cf63f6602d1e1793fb41f6437814a62,Jacylabs,ETHEREUM,ERC-20,
0x7ca62545a380e7d71f8f5cfa14b9211002075930,GivingToServices,ETHEREUM,ERC-20,
0x6fc5af63990aa9e5c5543f5cd8ed148bfa6d9d19,Saint Inu ,ETHEREUM,ERC-20,
0xc518a05b1BEc34B4022a73BB950D668A09C0385f,JediSwap Gitcoin Alpha Round Supporter,POLYGON,ERC-721,9
0x1FA2F83BA2DF61c3d370071d61B17Be01e224f3a,1Hive,POLYGON,ERC-20,
0x495f947276749Ce646f68AC8c248420045cb7b5e,Noora Health Save Thousands of Lives,ETHEREUM,ERC-1155,
0x1aCBD5ce03BDD2A898F4aCf91a39cC9c0807C39C,RELI3F UKR,ETHEREUM,ERC-1155,
0x7d8D74B44B433ca6f134e43eec1E63b0c43EEAfa,Obey Make Art Not War Ukraine,ETHEREUM,ERC-1155,
