Contract,Name ,Chain,Standard,Weight
0x4923017f3b7fac4e096b46e401c0662f0b7e393f,,ETHEREUM,ERC-721,9
0xde07734c6a573371a5c88753b77e3c81055bdcc1,,ETHEREUM,ERC-721,6
0x6e9b4c2f6bd57b7b924d29b5dcfca1273ecc94a2,,ETHEREUM,ERC-721,7
0x1e988ba4692e52bc50b375bcc8585b95c48aad77,,ETHEREUM,ERC-721,7
0x2d92c4f9f75308d0b9b098b142369032e4f901ff,,ETHEREUM,ERC-721,9
0x90b3832e2f2ade2fe382a911805b6933c056d6ed,,ETHEREUM,ERC-721,7
0xc232599b4359beb071b435134ab7aef3ec78c036,,ETHEREUM,ERC-721,8
0x9251dec8df720c2adf3b6f46d968107cbbadf4d4,,ETHEREUM,ERC-721,8
0x71c4658acc7b53ee814a29ce31100ff85ca23ca7,,ETHEREUM,ERC-721,6
0x616e1d1b8968547bd8c7884ac0983e6321c6ff88,,ETHEREUM,ERC-721,7
0x72d47d4d24018ec9048a9b0ae226f1c525b7e794,,ETHEREUM,ERC-721,9
0x112ac3abaf729b4a7c478d61ff117dbccde76353,,ETHEREUM,ERC-721,7
0x123214ef2bb526d1b3fb84a6d448985f537d9763,,ETHEREUM,ERC-721,9
0x8761b55af5a703d5855f1865db8fe4dd18e94c53,,ETHEREUM,ERC-721,9
0xc8d5517fd038206a65263bc25b230f6809ac7e3a,,ETHEREUM,ERC-721,6
0xa97d3eb991303cf3b9b759bd026bacb55256e9db,,ETHEREUM,ERC-721,7
0x7be3fdac0f6da6d4460fc2e4937d0017f8e494fa,,ETHEREUM,ERC-721,6
0xef3c951e22c65f6256746f4e227e19a5bcbf393c,,ETHEREUM,ERC-721,9
0x7d256d82b32d8003d1ca1a1526ed211e6e0da9e2,,ETHEREUM,ERC-721,8
0xcf39966d2de5d1ee035b66504bcb701adc9dda47,,ETHEREUM,ERC-721,6
0xdfb57b6e16ddb97aeb8847386989f4dca7202146,,ETHEREUM,ERC-721,6
0x7eaa96d48380802a75ed6d74b91e2b30c3d474c1,,ETHEREUM,ERC-721,7
0xf0d2d631a24db247f5eb0421fa3e6a169c72565f,,ETHEREUM,ERC-721,8
0x7f6b26c8862e08ea212b200dc412785035ff4fe5,,ETHEREUM,ERC-721,7
0xd0b53410454370a482979c0adaf3667c6308a801,,ETHEREUM,ERC-1155,9
0x1d796865cec180017af7fe5ae0cebed6ec0d1c05,,ETHEREUM,ERC-20,8
0xb08a61d96108136439180ad3f3e340a24e448f6b,,ETHEREUM,ERC-721,7
0x5f4336f57cf41821522f1777321462b108de55c2,,ETHEREUM,ERC-721,7
0x0e4b8e24789630618aa90072f520711d3d9db647,,ETHEREUM,ERC-721,6
0x20ecda43fdd84290c50dec35fe03b35f9bf2c6dc,,ETHEREUM,ERC-721,9
0x9438adad952faa182d002f9e7af2e48e8c465764,,ETHEREUM,ERC-721,9
0x33eecbf908478c10614626a9d304bfe18b78dd73,,ETHEREUM,ERC-721,6
0x992b11a8fe7abfb2e3b7736a1b5ffa3d44efaa32,,ETHEREUM,ERC-721,8
0x7492e30d60d96c58ed0f0dc2fe536098c620c4c0,,ETHEREUM,ERC-721,7
0xa66f3bd98b4741bad68bcd7511163c6f855d2129,,ETHEREUM,ERC-721,7
0xe785e82358879f061bc3dcac6f0444462d4b5330,,ETHEREUM,ERC-721,7
0xf7d90652b8d267a6e011fe629dafe1e3719917a9,,ETHEREUM,ERC-721,7
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,,ETHEREUM,ERC-721,8
0x2a77052d0777f4f02ddb96f69416adcf130c32b0,,ETHEREUM,ERC-721,9
0xa95cccbca85d4bb99549ec09e3d83ce1e88988ae,,ETHEREUM,ERC-721,8
0x8c7e68e7706842bfc70053c4ced21500488e73a8,,ETHEREUM,ERC-721,6
0xca21d4228cdcc68d4e23807e5e370c07577dd152,,ETHEREUM,ERC-721,9
0xed5af388653567af2f388e6224dc7c4b3241c544,,ETHEREUM,ERC-721,8
0xF6ee484f82f28d69688f37fe90Af514ce212b7c3,,ETHEREUM,ERC-721,7
0x78A3B30f90f9a39272C1CB3e558fcD1CBe5Fb791,,ETHEREUM,ERC-721,9
0x5C1A0CC6DAdf4d0fB31425461df35Ba80fCBc110,,ETHEREUM,ERC-721,7
0x9df8Aa7C681f33E442A0d57B838555da863504f3,,ETHEREUM,ERC-721,6
0x4BE3AD153F4C6b10F098e4270E77a434234C5493,,ETHEREUM,ERC-721,8
0xf1944301a68f226796c4f6A46b98B149dCBBffC1,,ETHEREUM,ERC-721,8
0x3CE341ebeBb3341d3878c7Ff22A94d30B7E25df8,,ETHEREUM,ERC-721,9
0xACC6c1e48Beca93F1343eBDc0DEc8467a0656484,,ETHEREUM,ERC-721,8
0x85c86ad99C27442ac7C4a213c931098056d9E9fD,,ETHEREUM,ERC-721,7
0xC43a7d62db13573315492F466f33b61ecEE75081,,ETHEREUM,ERC-721,7
0x60E303739CEF9E86682b048C59473c8e122F245f,,ETHEREUM,ERC-721,6
0xEf44e83DB68B9E6Df9CE6cC9343653C733762617,,ETHEREUM,ERC-721,9
0x2C89A52A7156a3FB0bf416D5231B68748e4c283C,,ETHEREUM,ERC-721,8
0x33333333333371718A3C2bB63E5F3b94C9bC13bE,,ETHEREUM,ERC-721,7
0x8BFD77f287B789D26F01Ec81e966A6465CcB4283,,ETHEREUM,ERC-721,6
0x9F83b08D90eeDa539f7E2797fEd3f6996917BbA8,,ETHEREUM,ERC-721,8
0x834Ebe76D6e0331fe86071963caD42c98199fC7c,,ETHEREUM,ERC-721,8
0x1e038A99AAC19162633Dcc4d215E5a27e6eB0355,,ETHEREUM,ERC-721,7
0x6fDBEc3E714B378F05275D496d0998f02746E2Dd,,ETHEREUM,ERC-721,9
0xF9C12BD715Df34c7850766A48178648AC0cB200d,,ETHEREUM,ERC-721,6
0x36F4D96Fe0D4Eb33cdC2dC6C0bCA15b9Cdd0d648,,ETHEREUM,ERC-721,6
0x2520E62474bA3085693f856B3E93fa6C92a4EF48,,ETHEREUM,ERC-721,9
0xf54cC94f1F2f5De012B6Aa51F1E7eBdc43Ef5afC,,ETHEREUM,ERC-721,8
0xEfAEd650f1a94801806BB110019d9B0dc79531A8,,ETHEREUM,ERC-721,6
0x78a5E2B8c280FA5580fBE1e1ed546183f959d305,,ETHEREUM,ERC-721,9
