Contract,Name ,Chain,Standard,Weight
0x2d2dD4FEBACa22F53F95C4427f6801545aB5Ec9d,Vault Gucci ,ETHEREUM,ERC-721,8
0xF661D58cfE893993b11D53d11148c4650590C692,Nike,ETHEREUM,ERC-721,9
0x0e220A4F3957C17a2e780922DBC13Cb2C9aa4274,Prada,ETHEREUM,ERC-721,5
0x07187957E1e8877C7dA42a89188fe6b0d80a2370,Gucci,ETHEREUM,ERC-721,5
0xEb6C5acCafD8515c1b9E4c794bDC41532C5543EC,Dolce&Gabbana,ETHEREUM,ERC-721,8
0xd4190DD1dA460fC7Bc41a792e688604778820aC9,Lacoste,ETHEREUM,ERC-721,8
0x3e9Cc65F06f97c9509dF367242b03A94DF9FD84C,DRESSX,POLYGON,ERC-721,9
0x6d200bb6E0d75daF29992b9Ec25D61Fa0d99cc92,FASHION APE NFT,ETHEREUM,ERC-721,8
0x004cf82a346a71245193075a9B91f4329180766D,The Diesel x neuno Alpha Drop,ETHEREUM,ERC-721,6
0x9e62A8DBBAf93a6992166e3a80aC15c991987bf5,CULT&RAIN - The Genesis Collection,ETHEREUM,ERC-721,5
0xEf9e3414339a236cBFc8bf84c7fAc24c2513b317,Eyes of Fashion Official,ETHEREUM,ERC-721,8
0x28472a58A490c5e09A238847F66A68a47cC76f0f,Adidas,ETHEREUM,ERC-1155,8
0x635b7DF389D040155B395EeB877b8d1E8A0AFC38,Boss Beauties Collabs,ETHEREUM,ERC-1155,7
