Contract,Name ,Chain,Standard,Weight
0x4d224452801aced8b2f0aebe155379bb5d594381,ApeCoin,ETHEREUM ,ERC20,
0x3845badAde8e6dFF049820680d1F14bD3903a5d0,Sandbox,ETHEREUM ,ERC20,
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Decentraland,ETHEREUM ,ERC20,
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,Axie Infinity,ETHEREUM ,ERC20,
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,Immutable,ETHEREUM ,ERC20,
0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA,Gala,ETHEREUM ,ERC20,
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,Illuvium,ETHEREUM ,ERC20,
0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c,Cocos-BCX,ETHEREUM ,ERC20,
0x97Bbbc5d96875fB78D2F14b7FF8d7a3a74106F17,Astrafer,ETHEREUM ,ERC20,
0x949d48eca67b17269629c7194f4b727d4ef9e5d6,Merit Circle,ETHEREUM ,ERC20,
0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,"Ultra
",ETHEREUM ,ERC20,
0x2a3bff78b79a009976eea096a51a948a3dc00e34,Wilder World,ETHEREUM ,ERC20,
0xAC51066d7bEC65Dc4589368da368b212745d63E8,MyNeighborAlice,ETHEREUM ,ERC20,
0x888888848B652B3E3a0f34c96E00EEC0F3a23F72,Alien Worlds,ETHEREUM ,ERC20,
0x12BB890508c125661E03b09EC06E404bc9289040,RACA,ETHEREUM ,ERC20,
0x580c8520deda0a441522aeae0f9f7a5f29629afa,Dawn Protocol,ETHEREUM ,ERC20,
0x25f8087ead173b73d6e8b84329989a8eea16cf73,Yield Guild Games,ETHEREUM ,ERC20,
0x081131434f93063751813c619ecca9c4dc7862a3,Mines of Dalarnia,ETHEREUM ,ERC20,
0x3F382DbD960E3a9bbCeaE22651E88158d2791550,"Aavegotchi
",ETHEREUM ,ERC20,
0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,Gods Unchained,ETHEREUM ,ERC20,
0x61e90a50137e1f645c9ef4a0d3a4f01477738406,League of Kingdoms Arena,ETHEREUM ,ERC20,
0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,UFO Gamin,ETHEREUM ,ERC20,
