Contract,Name ,Chain,Standard,Weight
0xa383d6bb58e0583bb6cee40f3c442e1b16e6958f,,ETHEREUM,ERC-721,8
0xd532b88607b1877fe20c181cba2550e3bbd6b31c,,ETHEREUM,ERC-721,7
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,ETHEREUM,ERC-20,6
0xc2ac394984f3850027dac95fe8a62e446c5fb786,,ETHEREUM,ERC-721,7
0xa49a0e5ef83cf89ac8aae182f22e6464b229efc8,,ETHEREUM,ERC-1155,7
0xf661d58cfe893993b11d53d11148c4650590c692,,ETHEREUM,ERC-721,8
0xa72d82e3003faadb893086b5e379194191ab472d,,ETHEREUM,ERC-1155,9
0xe8f88d16f24255fcfab25959705d724406d67d9d,,ETHEREUM,ERC-721,9
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,,ETHEREUM,ERC-721,6
0xacf63e56fd08970b43401492a02f6f38b6635c91,,ETHEREUM,ERC-721,7
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,,ETHEREUM,ERC-721,7
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,,ETHEREUM,ERC-721,9
0x6c410cf0b8c113dc6a7641b431390b11d5515082,,ETHEREUM,ERC-721,6
0xce25e60a89f200b1fa40f6c313047ffe386992c3,,ETHEREUM,ERC-721,6
0x283c0BbA69EbD4643cfCe761B34b0206E75b2091,,ETHEREUM,ERC-721,8
0x4b15a9c28034dC83db40CD810001427d3BD7163D,,ETHEREUM,ERC-721,9
0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,,ETHEREUM,ERC-721,8
0x23581767a106ae21c074b2276D25e5C3e136a68b,,ETHEREUM,ERC-721,6
0xf83A99E084C1D575AF8e12FF492F5E6C7b768b48,,ETHEREUM,ERC-721,8
0x5Af0D9827E0c53E4799BB226655A1de152A425a5,,ETHEREUM,ERC-721,7
0x39ee2c7b3cb80254225884ca001F57118C8f21B6,,ETHEREUM,ERC-721,9
0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,,ETHEREUM,ERC-721,7
0xc99c679C50033Bbc5321EB88752E89a93e9e83C5,,ETHEREUM,ERC-721,7
0x960b7a6BCD451c9968473f7bbFd9Be826EFd549A,,ETHEREUM,ERC-721,6
0xc143bbfcDBdBEd6d454803804752a064A622C1F3,,ETHEREUM,ERC-721,9
0x59468516a8259058bad1ca5f8f4bff190d30e066,,ETHEREUM,ERC-721,8
