Contract,Name ,Chain,Standard,Weight
0x5f98b87fb68f7bb6f3a60bd6f0917723365444c1,Eminem,ETHEREUM,ERC-721,5
0xE04cC101C671516aC790a6a6dC58F332b86978bB,Grimes,ETHEREUM,ERC-721,4
0xa90dd3a62ab4e2ee3e9e2aa62bdbf2a3355b1bac,Disclosure,ETHEREUM,ERC-721,4
0x6506a7b2392354a9e239485e8bdf050783f0bb86,Asap Rocky,ETHEREUM,ERC-721,3
0x7eF8F03E8c0c79D9C957B1DD1EC7Cfd1af1666C6,Music Ape Club,ETHEREUM,ERC-721,7
0x100b8361baa522d69df839F0089FA1728AaA1aa8,Async Music,ETHEREUM,ERC-1155,9
0x0C7D5d65024BF684BcD313e885a00b2057Ba7918,The Weeknd x Strangeloop Studios,ETHEREUM,ERC-721,6
0x33333333333371718A3C2bB63E5F3b94C9bC13bE,SAN Origin,ETHEREUM,ERC-721,7
0x9F83b08D90eeDa539f7E2797fEd3f6996917BbA8,KINGSHIP,ETHEREUM,ERC-721,7
0x8390b5D7e3Be0b166d97f49E3faC40A7548DfC33,PIXELATED by Sammy Arriaga,ETHEREUM,ERC-721,6
0x52E66cA968010d064938A8099a172CBAaf08c125,The Orbs by BT,ETHEREUM,ERC-721,8
0xcBC67Ea382F8a006d46EEEb7255876BeB7d7f14d,WVRPS by WarpSound (Official),ETHEREUM,ERC-721,8
0x70bE4E3761188d0a8c525E54bB81c4Ea97712de4,Moonshot by Violetta Zironi,ETHEREUM,ERC-721,5
0x8853B05833029e3Cf8d3Cbb592f9784FA43d2a79,Codex Record,ETHEREUM,ERC-721,7
0xd1d411D2Da363144248b98aDaB453aa3B19cCF04,Rug Radio Membership Pass,ETHEREUM,ERC-721,8
0x8427e46826a520b1264B55f31fCB5DDFDc31E349,Chaos Songs,ETHEREUM,ERC-721,8
0xe00D98151B43fA6f2B0888952A392CfC9Cf6Fc24,Pussy Riot on Sound.xyz,ETHEREUM,ERC-721,8
0x9747f94DCcc83e2498803cc453ed22874eB19C7b,Thomas Jack,ETHEREUM,ERC-721,7
0x719C6d392fc659f4fe9b0576cBC46E18939687a7,Daniel Allan: Glass House,ETHEREUM,ERC-721,8
