Contract,Name ,Chain,Standard,Weight
0x322A88a26C23D45c7887711caDF055275701738E,,ETHEREUM,ERC-721,7
0xd72EB6c069904faE424388A87E08701C1D45d4a8,,ETHEREUM,ERC-721,7
0xe785E82358879F061BC3dcAC6f0444462D4b5330,,ETHEREUM,ERC-721,9
0x9ef14cC7C558a70FBB6480CE58042feebAA1972E,,ETHEREUM,ERC-721,7
0x7C4a5aa4b185b07911640400667FB09011911F31,,IDK,-,-
0x4BE3223f8708Ca6b30D1E8b8926cF281EC83E770,,ETHEREUM,ERC-721,8
0x88f753C48008B938dD7f78751d3106d04ee432e3,,ETHEREUM,ERC-721,6
0x2809a8737477A534DF65C4b4cAe43d0365E52035,,ETHEREUM,ERC-721,7
0x4d928Fada59F3446627C5bea707A81e006Cf676f,,ETHEREUM,ERC-721,8
0xbcE6D2aa86934AF4317AB8615F89E3F9430914Cb,,ETHEREUM,ERC-721,9
0x4344cb95bCb0d9e7296D0DE2ff329Bfc8D0A84fe,,ETHEREUM,ERC-721,9
0xD0fF87cc052b35241D11127B8687d727B7444D3E,,ETHEREUM,ERC-721,6
0x36F4D96Fe0D4Eb33cdC2dC6C0bCA15b9Cdd0d648,,ETHEREUM,ERC-721,7
0xD1ad8EbFB0Fb6306962E48260cf1e8062eB28cfa,,ETHEREUM,ERC-721,8
0x3598Fff0f78Dd8b497e12a3aD91FeBcFC8F49d9E,,ETHEREUM,ERC-721,9
0x87acAE6dF21385A74ed4FB55A1a29354E9bdc6c1,,ETHEREUM,ERC-721,8
0x232101160F0438c5E05a8Bf8399c8bA4A2eB4e68,,ETHEREUM,ERC-721,9
0xA8A425864dB32fCBB459Bf527BdBb8128e6abF21,,ETHEREUM,ERC-721,7
0xdA74Aeb14546b4272036121AeD3A97515c84F317,,ETHEREUM,ERC-721,7
0x469823c7B84264D1BAfBcD6010e9cdf1cac305a3,,ETHEREUM,ERC-721,6
0xB159F1a0920A7f1D336397A52D92da94b1279838,,ETHEREUM,ERC-721,6
0xb2F798Cf3e79Ef1e2906f16a692D58Da8d7AD268,Logbook by Metagame,ETHEREUM,ERC-721,6
0xA3C81F1F2598d5FB5447D95Aa03F31BBa7F1DD21,Fire Card,ETHEREUM,ERC-721,9
0xD2A077Ec359D94E0A0b7E84435eaCB40A67a817c,Admit One,ETHEREUM,ERC-721,7
0x8ff1523091c9517BC328223D50b52Ef450200339,Rug Radio - Genesis NFT,ETHEREUM,ERC-721,8
0x03ef30e1aee25aBd320AD961B8CD31Aa1a011c97,ConiunPass,ETHEREUM,ERC-721,6
0xc5f18a7bF825c2B0433102DA5bc79C9EDfc3Fa89,Rainbow Finiliar,ETHEREUM,ERC-721,8
0x9d90669665607f08005cae4a7098143f554c59ef,Stand with Crypto,ETHEREUM,ERC-721,8
0x28e5552e8F51DE209e18CDDf90D2A4F260f26216,The Glass Pass,ETHEREUM,ERC-721,
0x0521FA0bf785AE9759C7cB3CBE7512EbF20Fbdaa,DegenScore - Beacon,ETHEREUM,ERC-1155,8
0x16b2f56890583a38def7bc3372e170ec369fb2cb,"Safe{Core}, Introduced",ETHEREUM,ERC-721,8
0xfACc0Dc09acEBa7A282750179F7fBFC9940f1A60,Lore Membership Cards,ETHEREUM,ERC-721,
0xd774557b647330C91Bf44cfEAB205095f7E6c367,Nakamigos,ETHEREUM,ERC-721,
0xD4307E0acD12CF46fD6cf93BC264f5D5D1598792,"Base, Introduced",ETHEREUM,ERC-721,9
0xa186D739CA2b3022b966194004C6b01855D59571,Atticc Early Adopter Pass,ETHEREUM,ERC-721,
0x48A6189c582DEB79A12dE99e7DB5DfB076484284,Quadrat NFT Pass,ETHEREUM,ERC-721,
0x3725ca6034bcdbc3c9ada649d49df68527661175,EIP-1559 Supporter Series,ETHEREUM,ERC-721,
0x1975fbcf98b5678db232c8d2c78fb574fab14d73,BOOTCAMP2021,ETHEREUM,ERC-721,
0xE20053515cd70ad3495bFb2Bc243A25889762576,Hey Growth V2,POLYGON,ERC-721,
0xddBA88C3eCE998f9103C4c66e69C6a1D1e5Eff01,Super Planets NFT,POLYGON,ERC-721,
0xc3ff1254dC7715C05C611304271feefc0DEF006D,Superdao Demo DAO,POLYGON,ERC-721,
0x6eD3b96c0EbF754Dd41572e39eA8509baD44Ba9d,Why Am I Still Here,POLYGON,ERC-721,
0xb20EB35Ecd400a3b4b4624DD2e691C824999DF8F,danielallan.lens-Collect-7,POLYGON,ERC-721,
0xFF04820c36759C9F5203021fe051239aD2dcca8a,Guild Pin,POLYGON,ERC-721,8
0xe615f0F496B1Bb32B80B704dEdFf5bD61B73519A,dew the dew,POLYGON,ERC-721,7
0xc1C6A331D4013f40Ca830C06eD47564D0d2b21cD,Alumni Gems,POLYGON,ERC-721,8
0xB7FF1B42180e01D8aB2c7216605Bf1148e3002A6,Frognosis,POLYGON,ERC-721,
0x388B6352EccE2c8d3cFe9bC6602E5aF8C60F7b62,Benzinga Future of Crypto,POLYGON,ERC-721,
0x091fc2e2bb9886d107BA3537DeFa42744282eaAa,House of Lee,ETHEREUM,ERC-1155,
